Title,Genre,Premiere,Seasons,Language,Status,Type
Inside Edge[a],Sports drama,"July 10, 2017","3 seasons, 30 episodes",Hindi,Renewed[1],drama
Laakhon Mein Ek,Drama,"October 13, 2017","2 seasons, 14 episodes",Hindi,Pending,drama
Breathe[b],Thriller,"January 26, 2018","1 season, 8 episodes",Hindi/Tamil,Completed,drama
Gangstars[a],Crime-drama,"June 1, 2018","1 season, 12 episodes",Telugu,Completed[2],drama
Mirzapur[b],Crime thriller,"November 16, 2018","2 season, 19 episodes",Hindi,Renewed[3],drama
Vella Raja,Crime-drama,"December 7, 2018","1 season, 10 episodes",Tamil,Completed,drama
Made in Heaven[b],Drama,"March 7, 2019","1 season, 8 episodes",Hindi,Renewed[4],drama
The Family Man[c],Thriller,"September 20, 2019","2 seasons, 19 episodes",Hindi,Renewed[5],drama
The Forgotten Army[c],Historical drama,"January 24, 2020",5 episodes,Hindi,Completed,drama
Paatal Lok,Crime thriller,"May 15, 2020","1 season, 9 episodes",Hindi,Renewed[6],drama
Breathe: Into the Shadows,Crime thriller,"July 10, 2020","2 season, 20 episodes",Hindi,Renewed[7],drama
Bandish Bandits,Musical,"August 4, 2020","1 season, 10 episodes",Hindi,Completed,drama
Tandav,Political drama,"January 15, 2021","1 season, 9 episodes",Hindi,Completed,drama
The Last Hour,Crime thriller,"May 14, 2021","1 season, 8 episodes",Hindi,Completed,drama
Mumbai Diaries 26/11,Thriller,"September 9, 2021","2 season, 16 episodes",Hindi,Completed,drama
Akkad Bakkad Rafu Chakkar,Crime drama,"November 3, 2021","1 season, 10 episodes",Hindi,Completed,drama
Putham Pudhu Kaalai Vidiyaadhaa,Anthology,"January 14, 2022","1 season, 5 episodes",Tamil,Completed,drama
Bestseller,Drama,"February 18, 2022","1 season, 8 episodes",Hindi,Completed,drama
Guilty Minds,Legal Drama,"April 22, 2022","1 season, 10 episodes",Hindi,Completed,drama
Modern Love Mumbai,Anthology,"May 13, 2022","1 season, 6 episodes",Hindi,Completed,drama
Suzhal: The Vortex,Thriller,"June 17, 2022","1 season, 8 episodes",Tamil,Completed,drama
Modern Love Hyderabad,Anthology,"July 8, 2022","1 season, 6 episodes",Telugu,Completed,drama
Crash Course,Drama,"August 5, 2022","1 season, 10 episodes",Hindi,Completed,drama
Hush Hush[8],Thriller,"September 23, 2022","1 season, 7 episodes",Hindi,Completed,drama
Vadhandhi: The Fable of Velonie,Thriller,"December 2, 2022","1 season, 8 episodes",Tamil,Completed,drama
Farzi[9],black comedy crime thriller,"February 10, 2023","1 season , 8 episodes",Hindi,Pending,drama
Jubilee[10],Historical Drama,"April 7, 2023","1 season, 10 episodes",Hindi,Pending,drama
Dahaad[11],Crime drama,"May 12, 2023","1 season, 8 episodes",Hindi,Completed,drama
Modern Love Chennai,Anthology,"May 18, 2023","1 season, 6 episodes",Tamil,Completed,drama
Jee Karda,Romantic Drama,"June 15, 2023","1 season, 8 episodes",Hindi,Completed,drama
Sweet Kaaram Coffee,Drama,"July 6, 2023","1 season, 8 episodes",Tamil,Completed,drama
Adhura[12],Supernatural Thriller,"July 7, 2023","1 season, 7 episodes",Hindi,Completed,drama
Bambai Meri Jaan[13],Crime thriller,"September 14, 2023","1 season, 10 episodes",Hindi,Completed,drama
P I Meena,Thriller,"November 3, 2023","1 season, 8 episodes",Hindi,Completed,drama
The Village[14],Horror,"November 24, 2023","1 season, 6 episodes",Tamil,Pending,drama
Shehar Lakhot[15],Thriller,"November 30, 2023","1 season, 8 episodes",Hindi,Pending,drama
Dhootha[16],Horror mystery thriller,"December 1, 2023","1 season, 8 episodes",Telugu,Pending,drama
